station_code;model;p;d;q;P;D;Q;m;aic;pvalues
A936;(0, 0, 1)(2, 1, 0, 26)[26];0;0;1;2;1;0;26;940.455354302344;[1.84825251e-11 5.04274328e-20 7.15005415e-11 2.89961799e-56]
A420;(0, 0, 0)(0, 1, 2, 26)[26];0;0;0;0;1;2;26;624.561136239359;[2.75978827e-39 2.16422133e-01 1.78866173e-38]
A204;(1, 0, 0)(0, 1, 1, 26)[26];1;0;0;0;1;1;26;796.089593540198;[6.56382861e-02 6.17352372e-41 2.86765813e-59]
A916;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;794.660616377958;"[3.72440623e-52 0.00000000e+00 2.00403125e-22 2.15621638e-04
 7.07439600e-61]"
A748;(1, 0, 1)(2, 1, 1, 26)[26];1;0;1;2;1;1;26;663.607570104328;"[3.08310157e-002 3.78490167e-116 5.14753006e-001 4.79118014e-001
 1.62958366e-005 2.44688238e-019]"
A609;(0, 0, 1)(0, 1, 2, 26)[26];0;0;1;0;1;2;26;1091.52087487235;[8.79316059e-11 7.66605989e-25 1.17474963e-01 7.42783705e-35]
A332;(0, 0, 1)(2, 1, 0, 26)[26];0;0;1;2;1;0;26;643.502548347427;[3.00907347e-02 7.19174658e-58 1.26067973e-09 3.57264986e-70]
A308;(0, 0, 1)(2, 1, 0, 26)[26];0;0;1;2;1;0;26;1012.66347729253;[1.15568052e-002 7.02350268e-054 1.69247314e-014 8.03866162e-110]
A929;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;854.230180791444;"[3.32763965e-27 0.00000000e+00 7.87966363e-30 1.02884075e-05
 6.58161959e-36]"
A014;(3, 0, 1)(2, 1, 0, 26)[26];3;0;1;2;1;0;26;817.885235304977;"[6.21153448e-010 1.42106433e-001 4.61227981e-002 6.90654522e-201
 1.27740168e-042 7.50379320e-016 1.61735495e-034]"
A720;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1142.73883326419;"[2.19141080e-27 2.18420065e-08 4.08167138e-07 5.75857305e-62
 3.94695943e-10 2.58840720e-79]"
A430;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;771.43072720269;"[9.71985935e-20 2.75531825e-08 5.65751925e-04 6.33891001e-32
 1.24819627e-10 1.61784192e-29]"
A848;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1082.3919403521;[1.32597442e-05 3.84936657e-21 2.06396997e-40]
A524;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1073.26241883495;"[3.10438260e-17 2.56495945e-07 2.89797883e-03 6.53580036e-24
 1.09209962e-14 1.66948401e-27]"
A023;(1, 0, 1)(0, 1, 1, 26)[26];1;0;1;0;1;1;26;863.915930064086;[1.38609427e-19 0.00000000e+00 8.77528745e-42 1.21703042e-30]
A328;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;570.646971921687;"[1.56516641e-04 1.56427734e-04 7.56487169e-02 2.63779739e-30
 2.49744368e-09 7.40828211e-50]"
A424;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;792.524670309337;"[8.48661293e-13 1.13629373e-03 4.12379306e-02 3.88744667e-21
 3.71043552e-14 2.05275496e-43]"
A003;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1268.13429520983;[3.13171680e-25 2.71660951e-43 1.45374695e-64]
A532;(2, 0, 2)(2, 1, 1, 26)[26];2;0;2;2;1;1;26;925.803310075405;"[1.65481406e-027 7.44155283e-011 1.12313091e-110 6.07180601e-050
 5.68464070e-001 8.44198520e-002 1.09176027e-005 2.19345523e-034]"
A516;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1067.58571111585;"[3.27766339e-38 5.71206375e-15 1.41900857e-03 2.60012613e-28
 7.53394892e-09 3.93624288e-79]"
A444;(1, 0, 1)(0, 1, 1, 26)[26];1;0;1;0;1;1;26;430.183679559811;[2.09033612e-024 6.96572218e-177 1.34545895e-029 1.38168736e-060]
A816;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1039.46119343546;"[6.95639025e-26 6.60109995e-08 3.99732948e-04 2.62434632e-24
 4.39683997e-05 5.94867110e-33]"
A749;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1136.51711785653;"[5.10994969e-39 1.38920191e-10 2.33755520e-06 4.69783293e-36
 4.84151450e-08 1.48560532e-33]"
A615;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1045.37666219183;"[1.28087233e-12 1.64724703e-08 4.11326266e-03 1.97326977e-31
 1.83989911e-10 2.06085162e-29]"
A433;(1, 0, 2)(2, 1, 1, 26)[26];1;0;2;2;1;1;26;813.190548126152;"[6.70131700e-01 5.26316668e-07 7.76976931e-12 6.54584852e-01
 1.25831367e-02 1.92585698e-02 2.62590511e-04 3.05901416e-41]"
A845;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1211.73601353938;[7.71880730e-38 9.28119482e-26 9.64211728e-47]
A802;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1637.61710298839;[7.06950826e-15 5.49766151e-47 3.49606489e-54]
A017;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;1041.53559036863;"[5.27106649e-10 0.00000000e+00 3.92388699e-31 1.01652238e-14
 8.81552756e-35]"
A829;(3, 0, 1)(2, 1, 1, 26)[26];3;0;1;2;1;1;26;1266.97227431427;"[4.71574369e-001 3.39669617e-012 3.18654896e-002 2.07482891e-001
 2.27370997e-163 3.42858350e-001 2.41799126e-001 2.85092566e-009
 2.47470128e-037]"
A052;(0, 0, 1)(1, 1, 0, 26)[26];0;0;1;1;1;0;26;231.443896839752;[4.41186609e-04 1.49186007e-09 1.15885470e-08]
A826;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1337.33898309416;[7.04905276e-22 1.64061534e-33 1.55911997e-51]
A659;(3, 0, 0)(2, 1, 1, 26)[26];3;0;0;2;1;1;26;228.20388219967;"[1.24775367e-07 1.74138321e-05 1.72373479e-02 9.98549197e-01
 9.96096043e-01 9.99443270e-01 9.97472379e-01]"
A428;(0, 0, 0)(0, 1, 1, 26)[26];0;0;0;0;1;1;26;754.822711126917;[3.51375881e-30 1.12968686e-32]
A043;(1, 0, 0)(2, 1, 0, 26)[26];1;0;0;2;1;0;26;401.492641714528;[8.56937288e-03 2.96781699e-17 1.74674942e-02 2.71582947e-23]
A762;(3, 2, 0)(0, 1, 0, 26)[26];3;2;0;0;1;0;26;154.064041518976;[1.10309939e-12 4.33317082e-06 4.38534907e-03 8.95378025e-03]
82723;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;2119.21336472394;"[1.43234067e-069 1.30819937e-025 1.85475673e-007 7.42184350e-146
 4.56189637e-043 2.94876527e-155]"
82376;(2, 0, 1)(2, 1, 0, 26)[26];2;0;1;2;1;0;26;1929.35397717578;"[2.93963916e-001 7.91893530e-160 3.43836188e-002 0.00000000e+000
 6.04628308e-084 8.03264206e-033 1.45702691e-271]"
82690;(2, 0, 0)(2, 1, 0, 26)[26];2;0;0;2;1;0;26;1342.93560645496;"[1.55527516e-007 7.88882701e-008 5.68398874e-085 5.43921035e-023
 6.07708061e-120]"
83919;(3, 0, 3)(2, 1, 0, 26)[26];3;0;3;2;1;0;26;5076.17912753186;"[3.66296010e-074 3.13606287e-026 3.06678073e-009 1.94188697e-164
 2.78356133e-051 3.56791185e-037 1.06201695e-116 3.34764875e-028
 2.91545872e-161]"
83687;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;4693.73484613639;"[3.80326172e-077 2.33832400e-020 1.47800778e-009 5.75288065e-114
 1.24237145e-022 4.76616318e-170]"
82689;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;2507.19038941207;"[3.24350583e-019 2.22549155e-007 1.55917122e-002 1.35795155e-122
 3.01076757e-028 2.32107051e-232]"
83522;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;3042.4509540003;"[1.95987858e-018 2.35939800e-007 8.28758457e-002 3.97563802e-098
 2.71794607e-018 2.55733748e-118]"
82753;(2, 0, 0)(2, 1, 0, 26)[26];2;0;0;2;1;0;26;2432.49086809523;"[8.12450913e-015 2.58304772e-003 6.28573619e-111 2.59930683e-028
 5.12502696e-176]"
712f3e11658051636f09732a60fb3c1b;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;747.493730928394;"[3.11768135e-10 3.43027942e-05 1.29559172e-02 5.62073919e-25
 1.26149551e-05 2.64092712e-34]"
