REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
S;RS;ERECHIM;A828;-27.66027777;-52.30638888;765.0
S;RS;SAO JOSE DOS AUSENTES;A829;-28.75138888;-50.05833333;1244.0
S;RS;CAMAQUA;A838;-30.81055555;-51.83472221;90.66
S;RS;PASSO FUNDO;A839;-28.22944443;-52.40388888;684.05
S;RS;BENTO GONCALVES;A840;-29.16722221;-51.53472221;640.0
S;SC;INDAIAL;A817;-26.91361111;-49.26749999;86.13
NE;RN;MOSSORO;A318;-4.90388888;-37.36694443;36.0
CO;GO;ARAGARCAS;A013;-15.90583333;-52.24388888;347.0
CO;GO;GOIAS;A014;-15.93916666;-50.14138888;512.0
CO;GO;ITAPACI;A015;-14.98027777;-49.53944444;522.0
CO;GO;JATAI;A016;-17.92388888;-51.71777777;582.0
CO;GO;POSSE;A017;-14.08916666;-46.36638888;834.0
CO;GO;CAIAPONIA;A023;-16.96666666;-51.81749999;737.0
CO;GO;ALTO PARAISO DE GOIAS;A024;-14.13305554;-47.52305554;1260.0
CO;GO;RIO VERDE;A025;-17.78583333;-50.98138888;782.0
CO;GO;MINEIROS;A026;-17.45472222;-52.60111111;862.0
CO;GO;MONTE ALEGRE DE GOIAS;A032;-13.24805555;-46.88972221;1253.0
CO;GO;PIRES DO RIO;A033;-17.30416666;-48.28416666;752.0
CO;GO;ITUMBIARA;A035;-18.40972222;-49.19194444;488.0
CO;GO;CRISTALINA;A036;-16.78805555;-47.61166666;1202.0
CO;GO;GOIANESIA;A022;-15.22027777;-48.99027777;667.0
NE;CE;TAUA;A324;-6.01666666;-40.28166666;415.0
NE;PB;SAO GONCALO;A333;-6.75666666;-38.22749999;233.06
NE;PI;BOM JESUS DO PIAUI;A326;-9.08333333;-44.31666666;415.0
CO;MT;QUERENCIA;A916;-12.5986111;-52.19444444;339.0
CO;MT;COTRIGUACU;A919;-9.90611111;-58.57194443;261.0
CO;MT;SAO FELIX  DO ARAGUAIA;A921;-11.61888888;-50.72777777;218.0
CO;MT;ALTA FLORESTA;A924;-9.84944444;-56.1;289.0
NE;AL;PAO DE ACUCAR;A323;-9.76583333;-37.44777777;19.0
NE;AL;PALMEIRA DOS INDIOS;A327;-9.42055554;-36.62027777;275.0
NE;BA;FEIRA DE SANTANA;A413;-12.19583333;-38.96722221;231.0
NE;BA;VITORIA DA CONQUISTA;A414;-14.8861111;-40.80138888;874.81
NE;BA;SANTA RITA DE CASSIA;A415;-11.01999999;-44.52499999;450.0
NE;BA;CORRENTINA;A416;-13.33222221;-44.61722221;549.0
NE;BA;BOM JESUS DA LAPA;A418;-13.41666666;-43.18416666;440.0
NE;CE;GUARAMIRANGA;A314;-4.26111111;-38.19749999;38.2
NE;CE;BARBALHA;A315;-7.31805554;-39.30166666;409.0
NE;CE;IGUATU;A319;-6.39666666;-39.27027777;233.0
NE;CE;QUIXERAMOBIM;A325;-5.17305554;-39.28722221;232.0
NE;CE;MORADA NOVA;A332;-5.13638888;-38.35638888;43.6
NE;CE;JAGUARUANA;A339;-4.85333333;-37.77694443;12.0
NE;MA;BALSAS;A204;-7.45527777;-46.02749999;254.0
NE;MA;CAROLINA;A205;-7.33722221;-47.45972222;192.0
NE;PB;JOAO PESSOA;A320;-7.16583333;-34.81527777;47.0
NE;PB;PATOS;A321;-7.07972221;-37.27249999;249.0
NE;PB;MONTEIRO;A334;-7.89138888;-37.11527777;603.66
NE;PE;GARANHUNS;A322;-8.90694444;-36.49472221;822.76
NE;PE;CABROBO;A329;-8.50305555;-39.31388888;337.0
NE;PE;CARUARU;A341;-8.2361111;-35.98583333;550.0
NE;PI;PAULISTANA;A330;-8.07999999;-41.07999999;374.22
NE;PI;SAO JOAO DO PIAUI;A331;-8.36472222;-42.25083333;235.0
NE;PI;PIRIPIRI;A335;-4.26388888;-41.77805554;161.2
NE;PI;ALVORADA DO GURGUEIA;A336;-8.44305555;-43.86472222;270.0
NE;PI;CARACOL;A337;-9.2861111;-43.32444443;523.0
NE;PI;ESPERANTINA;A338;-3.90083333;-42.23694444;65.0
NE;RN;CAICO;A316;-6.45972222;-37.08888888;169.85
NE;RN;MACAU;A317;-5.15111111;-36.57305554;32.0
NE;RN;APODI;A340;-5.62638888;-37.815;150.0
NE;SE;ITABAIANINHA;A417;-11.27249999;-37.79472221;208.0
N;PA;PARAGOMINAS;A212;-3.01027777;-47.34305555;101.0
N;PA;TOME ACU;A213;-2.6;-48.36666666;38.0
N;RO;PORTO VELHO;A925;-8.76388888;-63.47499999;98.0
N;TO;PEDRO AFONSO;A020;-8.9686111;-48.19416666;189.0
N;TO;ARAGUAINA;A021;-7.10416666;-48.20111111;226.0
SE;ES;SANTA TERESA;A613;-19.98833333;-40.57944443;988.0
SE;MG;JUIZ DE FORA;A518;-21.76999999;-43.36416666;950.0
SE;MG;PASSA QUATRO;A529;-22.3961111;-44.96166666;1040.0
SE;MG;GOVERNADOR VALADARES;A532;-18.83027777;-41.97666666;214.0
SE;MG;GUANHAES;A533;-18.78666666;-42.94305555;860.0
SE;MG;AIMORES;A534;-19.53277777;-41.09083333;83.74
SE;MG;DORES DO INDAIA;A536;-19.48166666;-45.59388888;722.0
SE;MG;DIAMANTINA;A537;-18.2311111;-43.64805555;1356.0
SE;MG;MOCAMBINHO;A539;-15.08583333;-44.01611111;460.0
SE;MG;MANTENA;A540;-18.78027777;-40.98583333;213.5
SE;MG;CAPELINHA;A541;-17.70527777;-42.38916666;948.0
SE;MG;UNAI;A542;-16.55388888;-46.88194443;631.0
SE;MG;ESPINOSA;A543;-14.91277777;-42.82972221;569.64
SE;MG;BURITIS;A544;-15.52416666;-46.43555555;894.0
SE;MG;PIRAPORA;A545;-17.25777777;-44.83555555;503.0
SE;MG;GUARDA-MOR;A546;-17.56166666;-47.19944444;616.0
SE;MG;SAO ROMAO;A547;-16.3625;-45.12388888;460.0
SE;MG;CHAPADA GAUCHA;A548;-15.31;-45.61666666;880.0
SE;MG;ITAOBIM;A550;-16.57555554;-41.48527777;266.0
SE;MG;RIO PARDO DE MINAS;A551;-15.72277777;-42.43527777;950.0
SE;MG;SALINAS;A552;-16.16027777;-42.31027777;495.0
SE;MG;JOAO PINHEIRO;A553;-17.78472221;-46.11916666;877.0
SE;MG;CARATINGA;A554;-19.73583333;-42.15361111;615.0
SE;RJ;VILA MILITAR;A621;-22.86083333;-43.41111111;45.0
SE;RJ;FORTE DE COPACABANA;A652;-22.98833333;-43.19027777;42.0
SE;SP;JALES;A733;-20.165;-50.59499999;457.0
SE;SP;VALPARAISO;A734;-21.31916666;-50.93027777;374.0
SE;SP;JOSE BONIFACIO;A735;-21.08555555;-49.92055554;405.0
SE;SP;ARIRANHA;A736;-21.13305554;-48.84027777;525.0
SE;SP;IBITINGA;A737;-21.85555555;-48.66666666;492.0
SE;SP;CASA BRANCA;A738;-21.77972221;-47.07972221;730.0
SE;SP;ITAPIRA;A739;-22.415;-46.80527777;633.0
S;PR;NOVA FATIMA;A842;-23.40694444;-50.57777777;668.0
SE;MG;MONTALVANIA;A526;-15.08583333;-44.01583333;512.0
SE;MG;AGUAS VERMELHAS;A549;-15.75222222;-41.45833333;740.0
SE;SP;SAO LUIS DO PARAITINGA;A740;-23.22833332;-45.41722221;730.0
S;PR;DOIS VIZINHOS;A843;-25.69472221;-53.09444444;520.0
S;RS;CANGUCU;A811;-31.40583333;-52.70111111;462.0
S;PR;ILHA DO MEL;A847;-25.49444444;-48.32583332;1.0
S;PR;PLANALTO;A855;-25.72194443;-53.74805555;398.0
S;RS;BAGE;A827;-31.34777777;-54.01333333;230.0
S;RS;SAO BORJA;A830;-28.64944444;-56.01555555;83.0
S;RS;QUARAI;A831;-30.3686111;-56.43722221;124.0
S;RS;SAO GABRIEL;A832;-30.34138888;-54.31083333;126.0
S;RS;JAGUARAO;A836;-32.53749999;-53.37638888;47.0
S;RS;LAGOA VERMELHA;A844;-28.22194443;-51.51222222;842.58
S;RS;SAO LUIZ GONZAGA;A852;-28.41694443;-54.96222222;245.11
S;RS;CRUZ ALTA;A853;-28.60361111;-53.6736111;432.0
S;RS;FREDERICO WESTPHALEN;A854;-27.39555555;-53.41277777;490.0
S;SC;JOACABA;A841;-27.16944443;-51.57555554;776.0
S;SC;BOM JARDIM DA SERRA - MORRO DA IGREJA;A845;-28.13333333;-49.48333333;1810.0
S;SC;ITAPOA;A851;-26.0811111;-48.64166666;2.0
CO;DF;AGUAS EMENDADAS;A045;-15.59638888;-47.62583332;1200.0
CO;GO;PARAUNA;A027;-16.94583333;-50.42527777;678.0
CO;GO;CATALAO;A034;-18.15777777;-47.92638888;890.0
CO;MS;SIDROLANDIA;A754;-20.98166666;-54.97194443;464.0
CO;MT;BRASNORTE (MUNDO NOVO);A927;-12.87194443;-58.38722221;431.0
NE;BA;IRECE;A424;-11.32888888;-41.86444444;755.0
CO;MS;CASSILANDIA;A742;-19.12249999;-51.72083332;516.0
CO;MS;RIO BRILHANTE;A743;-21.77472221;-54.52805554;329.0
CO;MS;JUTI;A749;-22.85722222;-54.60555555;379.0
CO;MS;AMAMBAI;A750;-23.0025;-55.32944443;431.0
CO;MS;SETE QUEDAS;A751;-23.96694443;-55.02416666;402.0
CO;MS;ITAQUIRAI;A752;-23.44944444;-54.18166666;336.0
CO;MT;CARLINDA;A926;-10.00527777;-55.79055555;306.0
CO;MT;NOVA MARINGA;A928;-13.06555555;-57.15611111;353.0
CO;MT;NOVA UBIRATA;A929;-13.68638888;-54.95611111;518.0
CO;MT;GAUCHA DO NORTE;A930;-13.18472221;-53.2575;379.0
CO;MT;SANTO ANTONIO DO LESTE;A931;-14.92777777;-53.8836111;648.0
CO;MT;GUIRATINGA;A932;-16.34166666;-53.76611111;526.0
CO;MT;ITIQUIRA;A933;-17.29722221;-54.83722221;585.0
CO;MT;ALTO TAQUARI;A934;-17.81555555;-53.28749999;875.0
CO;MT;PORTO ESTRELA;A935;-15.54638888;-57.38166666;145.0
CO;MT;SALTO DO CEU;A936;-15.13583333;-58.115;303.0
CO;MT;PONTES E LACERDA;A937;-15.25111111;-59.34666666;256.0
NE;AL;ARAPIRACA;A353;-9.80416666;-36.61888888;241.0
NE;AL;CORURIPE;A355;-10.14527777;-36.28638888;74.0
NE;AL;SAO LUIS DO QUITUNDE;A356;-9.28749999;-35.56583333;19.0
NE;BA;ABROLHOS;A422;-17.96416666;-38.6961111;25.0
NE;BA;REMANSO;A423;-9.60277777;-42.10277777;401.0
NE;BA;LENCOIS;A425;-12.55722222;-41.38888888;438.74
NE;BA;GUANAMBI;A426;-14.20805555;-42.74944444;882.0
NE;BA;PORTO SEGURO;A427;-16.38916666;-39.18249999;85.0
NE;BA;SENHOR DO BONFIM;A428;-10.44305555;-40.14833333;539.0
NE;BA;BARRA;A429;-11.08472221;-43.13916666;403.0
NE;BA;PIATA;A430;-13.15583333;-41.77416666;1290.0
NE;BA;CONDE;A431;-11.8;-37.59972221;31.9
NE;BA;BURITIRAMA;A432;-10.72305554;-43.65111111;506.5
NE;BA;BRUMADO;A433;-14.18166666;-41.67222221;470.0
NE;BA;AMARGOSA;A434;-13.00944444;-39.61694443;407.0
NE;BA;QUEIMADAS;A436;-10.98472221;-39.61694443;315.0
NE;BA;UNA;A437;-15.27999999;-39.0911111;74.0
NE;BA;MARAU;A438;-13.90722222;-38.97222221;10.0
NE;BA;IBOTIRAMA;A439;-12.19249999;-43.2125;430.0
NE;BA;JACOBINA;A440;-11.205;-40.465;453.0
NE;BA;SERRINHA;A441;-11.66444444;-39.02305554;339.0
